I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-39, -43, -4, 41, -17, -24, 14, 24, -126, -146, -97, -68, 
-68, -78, -9, 73, -29, -43, 4, 24, -131, -161, -117, -87, 
-78, -97, -19, 87, -29, -58, 9, 29, -141, -156, -122, -102, 
-58, -82, -24, 70, -17, -53, 24, 39, -141, -161, -122, -97, 
-4, -58, -53, 31, 24, -56, 39, 68, -131, -165, -117, -87, 
4, -53, -58, 24, 31, -56, 43, 68, -146, -165, -112, -82, 
4, -68, -73, 31, 39, -70, 39, 48, -151, -195, -136, -92, 
-53, -92, -39, 73, -7, -65, 63, 53, -161, -200, -136, -97, 
-68, -97, -29, 82, -19, -63, 58, 53, -151, -200, -136, -92, 
-58, -97, -39, 78, -9, -68, 43, 48, -156, -214, -146, -102, 
-39, -73, -34, 56, -2, -53, 58, 78, -122, -170, -92, -48, 
-29, -73, -43, 51, 7, -58, 53, 73, -126, -180, -97, -58, 
-58, -97, -39, 78, -9, -68, 53, 48, -136, -195, -136, -112, 
-29, -68, -39, 48, 4, -53, 53, 53, -146, -204, -136, -112, 
9, -48, -58, 19, 34, -53, 53, 53, -146, -214, -146, -122, 
19, -19, -39, 0, 29, -29, 53, 68, -136, -190, -141, -117, 
-14, -48, -34, 31, 9, -41, 48, 43, -151, -195, -141, -97, 
-39, -73, -34, 56, -2, -53, 58, 48, -151, -190, -141, -102, 
-53, -92, -39, 73, -7, -65, 53, 48, -141, -175, -117, -68, 
-112, -146, -34, 129, -39, -90, 48, 48, -156, -180, -122, -87, 
-97, -136, -39, 117, -29, -87, 73, 68, -126, -156, -107, -82, 
-82, -107, -24, 95, -29, -65, 73, 73, -117, -161, -97, -78, 
-29, -78, -48, 53, 9, -63, 82, 82, -97, -156, -117, -107, 
29, -34, -63, 2, 46, -48, 97, 92, -58, -141, -117, -112, 
19, -48, -68, 14, 43, -58, 102, 92, -34, -136, -146, -151, 
4, -63, -68, 29, 36, -65, 141, 122, 29, -117, -151, -156, 
-39, -73, -34, 56, -2, -53, 156, 141, 78, -73, -131, -131, 
-43, -53, -9, 48, -17, -31, 170, 161, 175, -14, -87, -97, 
-29, 9, 39, 9, -34, 24, 156, 156, 273, 82, -14, -39, 
-82, 24, 107, 29, -95, 65, 156, 161, 385, 190, 53, 4, 
-78, 82, 161, -2, -119, 122, 156, 175, 551, 326, 146, 58, 
-43, 151, 195, -53, -119, 173, 126, 165, 653, 448, 234, 107, 
-43, 200, 244, -78, -143, 222, 87, 151, 761, 590, 336, 175, 
14, 273, 258, -143, -122, 265, 48, 151, 897, 795, 556, 351, 
122, 366, 244, -244, -61, 305, -14, 151, 1034, 1024, 814, 570, 
234, 512, 278, -373, -21, 395, -102, 92, 1058, 1200, 1054, 795, 
278, 634, 356, -456, -39, 495, -200, -24, 902, 1278, 1224, 980, 
292, 766, 473, -529, -90, 619, -307, -180, 634, 1317, 1346, 1117, 
341, 932, 590, -636, -124, 761, -434, -366, 239, 1298, 1454, 1234, 
346, 1010, 663, -678, -158, 836, -541, -512, -200, 1200, 1483, 1298, 
375, 1010, 634, -692, -129, 822, -551, -546, -605, 1093, 1498, 1322, 
336, 858, 522, -597, -92, 690, -517, -546, -1063, 893, 1381, 1239, 
229, 629, 400, -429, -85, 514, -448, -502, -1410, 629, 1141, 1029, 
161, 444, 283, -302, -61, 363, -385, -463, -1586, 405, 893, 805, 
107, 317, 209, -212, -51, 263, -346, -448, -1756, 141, 595, 556, 
58, 253, 195, -156, -68, 224, -307, -429, -1937, -209, 263, 287, 
-14, 136, 151, -61, -82, 143, -239, -385, -2093, -619, -107, 4, 
-73, 0, 73, 36, -73, 36, -141, -278, -2093, -971, -488, -297, 
-92, -48, 43, 70, -68, -2, -92, -214, -2025, -1205, -746, -512, 
-102, -63, 39, 82, -70, -12, -87, -234, -1961, -1371, -917, -629, 
-107, -73, 34, 90, -70, -19, -87, -224, -1795, -1381, -951, -658, 
-87, -68, 19, 78, -53, -24, -102, -214, -1590, -1239, -829, -575, 
-78, -63, 14, 70, -46, -24, -107, -200, -1371, -1063, -697, -512, 
-58, -48, 9, 53, -34, -19, -122, -200, -1166, -893, -590, -444, 
-68, -43, 24, 56, -46, -9, -126, -209, -995, -751, -512, -395, 
-87, -14, 73, 51, -80, 29, -131, -219, -829, -619, -434, -336, 
-78, -14, 63, 46, -70, 24, -146, -214, -683, -502, -336, -253, 
-73, -24, 48, 48, -61, 12, -102, -161, -527, -380, -263, -200, 
-24, -9, 14, 17, -19, 2, -34, -87, -366, -253, -161, -122, 
-29, -9, 19, 19, -24, 4, -4, -48, -253, -200, -107, -73, 
-9, 0, 9, 4, -9, 4, 29, -24, -219, -200, -131, -102, 
-4, -9, -4, 7, 0, -7, 48, 9, -165, -151, -107, -78, 
-48, -53, -4, 51, -21, -29, 63, 14, -122, -107, -87, -58, 
-58, -48, 9, 53, -34, -19, 82, 34, -82, -78, -63, -48, 
-73, -34, 39, 53, -56, 2, 78, 58, -48, -34, -43, -39, 
-63, -43, 19, 53, -41, -12, 87, 68, -29, -9, -39, -29, 
-9, -43, -34, 26, 12, -39, 87, 48, -29, -29, -58, -58, 
-4, -48, -43, 26, 19, -46, 102, 63, -24, -4, -68, -63, 
14, -48, -63, 17, 39, -56, 107, 58, -14, 4, -78, -78, 
29, -43, -73, 7, 51, -58, 102, 58, -4, 19, -82, -82, 
39, -24, -63, -7, 51, -43, 122, 58, 9, 34, -68, -73, 
19, -34, -53, 7, 36, -43, 122, 73, 19, 58, -58, -68, 
-24, -68, -43, 46, 9, -56, 126, 78, 34, 92, -43, -53, 
